NAME,SYMBOL,SLUG,N MARKET PAIRS,DATE ADDED,TAGS,MAX SUPPLY,CIRC SUPPLY,TOTAL SUPPLY,CMC RANK,LAST UPDATED,EXCH CUR,PRICE,VOLUME 24h,% CHANGE 1h,% CHANGE 24h,% CHANGE 7d,% CHANGE 30d,% CHANGE 60d,% CHANGE 90d,MARKET CAP
PLNcoin,PLNC,plncoin,1,2014-04-15T00:00:00.000Z,"mineable,hybrid-pow-pos,scrypt",38540000,17089600,19089600,2459,2021-05-11T12:52:03.000Z,GBP,0.000390805,1.00E-08,-0.44362048,-4.79901065,-3.87679112,-7.43715575,-51.07060109,-39.07201134,6678.701612
Bitvolt,VOLT,bitvolt,1,2017-04-30T00:00:00.000Z,,,16588055.6,61608155.6,2460,2021-05-11T12:52:07.000Z,GBP,0.000390805,1.00E-08,-0.44362048,-4.79901065,-3.94333771,-7.45329834,-2.13625545,21.63855763,6482.695538
Staker,STR,staker,1,2018-08-30T00:00:00.000Z,,7785000,1697796.149,2096599.25,2461,2021-05-11T12:52:03.000Z,GBP,0.003517245,1.00E-08,-0.44362048,-4.79901065,-3.87679112,-35.91803091,193.5763935,174.175949,5971.565449
DOWCOIN,DOW,dowcoin,1,2018-08-28T00:00:00.000Z,,,11845265.5,2000000000,2462,2021-05-11T12:52:03.000Z,GBP,0.000503571,10.0815173,-1.06250406,1.070214,25.23605866,-97.76874571,,-4.52580218,5964.930955
JavaScript Token,JS,javascript-token,1,2017-10-27T00:00:00.000Z,"marketplace,crowdsourcing,jobs",,7991996,7991996,2463,2021-05-11T12:52:03.000Z,GBP,0.00074253,1.00E-08,-0.44362048,-4.79901065,-3.87679112,-20.05936179,106.5907954,156.7925106,5934.293224
Klimatas,KTS,klimatas,3,2019-06-18T00:00:00.000Z,mineable,,722903.9844,1575255.516,2464,2021-05-11T12:51:13.000Z,GBP,0.00820463,150.4076443,-0.40348977,4.82190565,-24.6541205,-60.37421682,-50.50247588,-57.01194084,5931.159403
MoX,MOX,mox,1,2019-01-09T00:00:00.000Z,mineable,18400000,5027488,5027488,2465,2021-05-11T12:52:07.000Z,GBP,0.001172415,1.00E-08,-0.44362048,-4.79901065,-27.95750328,-30.58997375,,264.9156729,5894.30277
Apollon,XAP,apollon,1,2018-08-13T00:00:00.000Z,"mineable,masternodes",250000000,148585276.4,149359882.2,2466,2021-05-11T12:52:03.000Z,GBP,3.91E-05,1.00E-08,-0.44362049,-4.79901065,-67.98111257,-76.86332459,-75.53406386,-69.53600567,5806.787315
Diligence,IRA,diligence,2,2020-06-29T00:00:00.000Z,,,21000000,21000000,2467,2021-05-11T12:52:06.000Z,GBP,0.000274949,54.63377098,-5.12996299,-51.09449258,-16.91527465,-15.40555569,332.3216697,253.2072302,5773.922864
Dinero,DIN,dinero,1,2018-09-10T00:00:00.000Z,"mineable,masternodes",100000000,8947928.769,10947933.77,2468,2021-05-11T12:52:04.000Z,GBP,0.000625288,8.503815797,-0.44362048,-4.79901065,70.76739963,270.1868067,421.9399709,178.4879053,5595.032889
